Date,Close/Last,Volume,Open,High,Low,Adjusted Close
09/30/2015,77.59,N/A,77.59,77.59,77.59,56.3929
09/29/2015,75.96,N/A,75.96,75.96,75.96,55.2082
09/28/2015,76.27,N/A,76.27,76.27,76.27,55.4335
09/25/2015,78.83,N/A,78.83,78.83,78.83,57.2941
09/24/2015,79.27,N/A,79.27,79.27,79.27,57.6139
09/23/2015,79.72,N/A,79.72,79.72,79.72,57.941
09/22/2015,79.69,N/A,79.69,79.69,79.69,57.9192
09/21/2015,80.78,N/A,80.78,80.78,80.78,58.7114
09/18/2015,80.68,N/A,80.68,80.68,80.68,58.6387
09/17/2015,81.73,N/A,81.73,81.73,81.73,59.4019
09/16/2015,81.65,N/A,81.65,81.65,81.65,59.3437
09/15/2015,81.05,N/A,81.05,81.05,81.05,58.9076
09/14/2015,80.14,N/A,80.14,80.14,80.14,58.2462
09/11/2015,80.51,N/A,80.51,80.51,80.51,58.5152
09/10/2015,80.03,N/A,80.03,80.03,80.03,58.1663
09/09/2015,79.59,N/A,79.59,79.59,79.59,57.8465
09/08/2015,80.55,N/A,80.55,80.55,80.55,58.5442
09/07/2015,78.67,N/A,78.67,78.67,78.67,57.1778
09/04/2015,78.67,N/A,78.67,78.67,78.67,57.1778
09/03/2015,79.61,N/A,79.61,79.61,79.61,57.861
09/02/2015,79.64,N/A,79.64,79.64,79.64,57.8828
09/01/2015,77.89,N/A,77.89,77.89,77.89,56.6109
08/31/2015,80.01,N/A,80.01,80.01,80.01,58.1518
08/28/2015,81.09,N/A,81.09,81.09,81.09,58.9367
08/27/2015,81.06,N/A,81.06,81.06,81.06,58.9149
08/26/2015,79.2,N/A,79.2,79.2,79.2,57.5631
08/25/2015,76.08,N/A,76.08,76.08,76.08,55.2954
08/24/2015,76.64,N/A,76.64,76.64,76.64,55.7024
08/21/2015,79.64,N/A,79.64,79.64,79.64,57.8828
08/20/2015,82.56,N/A,82.56,82.56,82.56,60.0051
08/19/2015,84.74,N/A,84.74,84.74,84.74,61.5896
08/18/2015,85.24,N/A,85.24,85.24,85.24,61.953
08/17/2015,85.4,N/A,85.4,85.4,85.4,62.0693
08/14/2015,84.85,N/A,84.85,84.85,84.85,61.6695
08/13/2015,84.5,N/A,84.5,84.5,84.5,61.4151
08/12/2015,84.48,N/A,84.48,84.48,84.48,61.4006
08/11/2015,84.59,N/A,84.59,84.59,84.59,61.4805
08/10/2015,85.22,N/A,85.22,85.22,85.22,61.9384
08/07/2015,84.49,N/A,84.49,84.49,84.49,61.4079
08/06/2015,84.57,N/A,84.57,84.57,84.57,61.466
08/05/2015,85.95,N/A,85.95,85.95,85.95,62.469
08/04/2015,85.27,N/A,85.27,85.27,85.27,61.9748
08/03/2015,85.35,N/A,85.35,85.35,85.35,62.0329
07/31/2015,85.4,N/A,85.4,85.4,85.4,62.0693
07/30/2015,85.44,N/A,85.44,85.44,85.44,62.0983
07/29/2015,85.18,N/A,85.18,85.18,85.18,61.9094
07/28/2015,84.65,N/A,84.65,84.65,84.65,61.5241
07/27/2015,83.86,N/A,83.86,83.86,83.86,60.95
07/24/2015,84.53,N/A,84.53,84.53,84.53,61.4369
07/23/2015,85.48,N/A,85.48,85.48,85.48,62.1274
07/22/2015,85.93,N/A,85.93,85.93,85.93,62.4545
07/21/2015,86.1,N/A,86.1,86.1,86.1,62.578
07/20/2015,86.29,N/A,86.29,86.29,86.29,62.7161
07/17/2015,85.94,N/A,85.94,85.94,85.94,62.4617
07/16/2015,85.39,N/A,85.39,85.39,85.39,62.062
07/15/2015,84.51,N/A,84.51,84.51,84.51,61.4224
07/14/2015,84.57,N/A,84.57,84.57,84.57,61.466
07/13/2015,84.16,N/A,84.16,84.16,84.16,61.168
07/10/2015,83.09,N/A,83.09,83.09,83.09,60.3903
07/09/2015,81.89,N/A,81.89,81.89,81.89,59.5182
07/08/2015,81.48,N/A,81.48,81.48,81.48,59.2202
07/07/2015,82.89,N/A,82.89,82.89,82.89,60.245
07/06/2015,82.48,N/A,82.48,82.48,82.48,59.947
07/03/2015,82.68,N/A,82.68,82.68,82.68,60.0923
07/02/2015,82.68,N/A,82.68,82.68,82.68,60.0923
07/01/2015,82.67,N/A,82.67,82.67,82.67,60.0851
06/30/2015,82.09,N/A,82.09,82.09,82.09,59.6635
06/29/2015,81.62,N/A,81.62,81.62,81.62,59.3219
06/26/2015,83.54,N/A,83.54,83.54,83.54,60.7174
06/25/2015,83.68,N/A,83.68,83.68,83.68,60.8191
06/24/2015,83.86,N/A,83.86,83.86,83.86,60.95
06/23/2015,84.51,N/A,84.51,84.51,84.51,61.4224
06/22/2015,84.33,N/A,84.33,84.33,84.33,61.2916
06/19/2015,83.57,N/A,83.57,83.57,83.57,60.7392
06/18/2015,83.81,N/A,83.81,83.81,83.81,60.9136
06/17/2015,82.69,N/A,82.69,82.69,82.69,60.0996
06/16/2015,82.36,N/A,82.36,82.36,82.36,59.8598
06/15/2015,81.97,N/A,81.97,81.97,81.97,59.5763
06/12/2015,82.33,N/A,82.33,82.33,82.33,59.838
06/11/2015,82.86,N/A,82.86,82.86,82.86,60.2232
06/10/2015,82.7,N/A,82.7,82.7,82.7,60.1069
06/09/2015,81.66,N/A,81.66,81.66,81.66,59.351
06/08/2015,81.77,N/A,81.77,81.77,81.77,59.4309
06/05/2015,82.57,N/A,82.57,82.57,82.57,60.0124
06/04/2015,82.48,N/A,82.48,82.48,82.48,59.947
06/03/2015,83.08,N/A,83.08,83.08,83.08,60.3831
06/02/2015,82.85,N/A,82.85,82.85,82.85,60.2159
06/01/2015,82.85,N/A,82.85,82.85,82.85,60.2159
05/29/2015,82.59,N/A,82.59,82.59,82.59,60.0269
05/28/2015,83.15,N/A,83.15,83.15,83.15,60.4339
05/27/2015,83.25,N/A,83.25,83.25,83.25,60.5066
05/26/2015,82.36,N/A,82.36,82.36,82.36,59.8598
05/25/2015,83.3,N/A,83.3,83.3,83.3,60.543
05/22/2015,83.3,N/A,83.3,83.3,83.3,60.543
05/21/2015,83.37,N/A,83.37,83.37,83.37,60.5938
05/20/2015,83.03,N/A,83.03,83.03,83.03,60.3467
05/19/2015,83.11,N/A,83.11,83.11,83.11,60.4049
05/18/2015,83.1,N/A,83.1,83.1,83.1,60.3976
05/15/2015,82.77,N/A,82.77,82.77,82.77,60.1578
05/14/2015,82.74,N/A,82.74,82.74,82.74,60.1359
05/13/2015,81.79,N/A,81.79,81.79,81.79,59.4455
05/12/2015,81.89,N/A,81.89,81.89,81.89,59.5182
05/11/2015,82.06,N/A,82.06,82.06,82.06,59.6417
05/08/2015,82.32,N/A,82.32,82.32,82.32,59.8307
05/07/2015,81.28,N/A,81.28,81.28,81.28,59.0748
05/06/2015,80.7,N/A,80.7,80.7,80.7,58.6533
05/05/2015,80.94,N/A,80.94,80.94,80.94,58.8277
05/04/2015,81.89,N/A,81.89,81.89,81.89,59.5182
05/01/2015,81.79,N/A,81.79,81.79,81.79,59.4455
04/30/2015,80.87,N/A,80.87,80.87,80.87,58.7768
